id,department,gender,id_crew,job,name
862,Directing,2,7879,Director,John Lasseter
8844,Directing,2,4945,Director,Joe Johnston
15602,Directing,2,26502,Director,Howard Deutch
31357,Directing,2,2178,Director,Forest Whitaker
11862,Directing,2,56106,Director,Charles Shyer
949,Directing,2,638,Director,Michael Mann
11860,Directing,2,2226,Director,Sydney Pollack
45325,Directing,2,18357,Director,Peter Hewitt
9091,Directing,2,37710,Director,Peter Hyams
710,Directing,2,10702,Director,Martin Campbell
9087,Directing,2,3026,Director,Rob Reiner
12110,Directing,2,14639,Director,Mel Brooks
21032,Directing,2,21879,Director,Simon Wells
10858,Directing,2,1152,Director,Oliver Stone
1408,Directing,2,16938,Director,Renny Harlin
524,Directing,2,1032,Director,Martin Scorsese
4584,Directing,2,1614,Director,Ang Lee
5,Directing,1,3110,Director,Allison Anders
5,Directing,2,3111,Director,Alexandre Rockwell
5,Directing,2,2294,Director,Robert Rodriguez
5,Directing,2,138,Director,Quentin Tarantino
9273,Directing,2,4489,Director,Steve Oedekerk
11517,Directing,2,52629,Director,Joseph Ruben
8012,Directing,2,5174,Director,Barry Sonnenfeld
1710,Directing,2,15148,Director,Jon Amiel
9691,Directing,2,7187,Director,Richard Donner
12665,Directing,2,56349,Director,Victor Salva
451,Directing,2,6111,Director,Mike Figgis
16420,Directing,2,56710,Director,Oliver Parker
9263,Directing,1,15798,Director,Lesli Linka Glatter
17015,Directing,2,7017,Director,Roger Michell
902,Directing,2,2419,Director,Jean-Pierre Jeunet
902,Directing,0,13680,Director,Marc Caro
37557,Directing,2,607,Director,Zhang Yimou
9909,Directing,2,60295,Director,John N. Smith
63,Directing,2,280,Director,Terry Gilliam
78802,Directing,2,2352,Director,Jean-Jacques Annaud
9598,Directing,2,58137,Director,Chris Noonan
47018,Directing,2,12952,Director,Christopher Hampton
687,Directing,2,504,Director,Tim Robbins
139405,Directing,2,77867,Director,Stephen Low
33689,Directing,2,17167,Director,Andy Tennant
9603,Directing,1,57434,Director,Amy Heckerling
34615,Directing,0,16730,Director,Darrell James Roodt
